surface,bathrooms,bedrooms,price
396,1,3,55000
280,2,7,50000
450,4,4,95000
200,1,3,45000
200,4,3,100000
500,1,6,35000
296,3,3,65000
200,1,2,25000
264,6,6,65000
200,1,4,30000
600,6,6,80000
360,5,7,85000
200,1,3,55000
264,2,4,18000
300,3,3,85000
250,2,2,48000
230,3,5,60000
250,2,4,75000
220,1,1,70000
680,1,3,48000
495,2,4,80000
274,2,3,80000
200,4,4,89900
250,2,3,65000
288,2,2,78500
300,1,3,30000
220,4,1,90000
450,2,4,57000
450,2,3,57000
218,2,3,90000
600,3,5,65000
637,3,5,85000
200,4,8,100000
200,2,3,68800
200,2,2,45000
347,2,4,42000
430,2,3,65000
600,2,6,55000
200,2,2,100000
375,1,1,22000
208,4,7,100000
320,2,3,55000
350,1,3,28000
200,1,3,55000
240,2,3,58000
200,1,3,53000
209,1,5,68000
288,1,3,50000
308,2,3,95000
600,2,4,85000
200,5,4,80000
250,1,1,35000
312,2,4,34000
300,2,3,65000
200,4,1,85000
262,5,8,85000
200,3,3,95000
400,4,4,35000
478,2,4,80000
271,1,3,43000
285,2,2,67000
200,1,3,50000
700,1,2,65000
200,3,3,85500
360,6,8,86000
360,3,10,85000
300,3,5,90000
385,5,5,89000
630,1,1,58000
280,3,8,95000
460,1,3,30000
200,2,10,60000
240,2,3,42000
360,4,6,98000
203,2,5,100000
330,4,4,89000
200,2,3,72000
280,2,3,55000
506,2,5,83000
350,4,3,75000
400,2,3,48000
660,2,5,60000
220,2,3,65000
200,1,2,32000
220,2,3,59000
205,1,1,43000
248,3,7,86900
232,2,6,74000
800,4,4,85000
360,7,4,85000
200,2,3,70000
364,3,9,100000
200,2,5,82000
478,2,4,80000
200,3,5,90000
306,3,5,63000
252,2,4,33000
250,1,3,28000
640,3,3,75000
200,1,3,48000
220,1,5,24500
300,3,3,58000
320,1,2,28000
329,3,3,95000
600,3,3,45000
300,1,4,82000
200,2,5,66000
307,1,3,75000
240,2,3,38000
200,2,4,47600
250,2,3,89000
560,1,6,15000
210,5,10,70000
200,1,2,32500
200,2,4,85000
300,5,5,65000
760,2,6,60000
360,3,5,35000
240,5,4,90000
220,3,3,69000
220,2,10,83000
250,5,6,80000
200,7,10,55000
200,1,5,50000
250,2,3,17000
285,2,4,90000
210,3,3,20000
283,4,8,60000
216,6,3,100000
200,2,5,68000
200,4,9,75000
220,2,6,65000
250,2,3,41000
300,1,3,48000
209,4,4,79000
300,2,3,90000
